from_en,to_en,km
Al Majmaah,Al-Quwaiiyah,367.2
Al Majmaah,Hotat Bani Tamim,348
Al Majmaah,Al-Sulayyil,725.7
Al Majmaah,Sajir,168.6
Al Majmaah,Al-Dilam,306.1
Al Majmaah,Jeddah,1039.8
Al Majmaah,Makkah,864.2
Al Majmaah,Taif,778.6
Al Majmaah,Al Qunfudhah,1146.7
Al Majmaah,Rabigh,929.8
Al Majmaah,Al-Lith,1060.6
Al Majmaah,Khulais,956.9
Al Majmaah,Al-Jamoum,1036
Al Majmaah,Al-Khurma,700.3
Al Majmaah,Ranyah,821.7
Al Majmaah,Turabah,793.9
Al Majmaah,Madinah,646.2
Al Majmaah,Yanbu,868.3
Al Majmaah,Al-Ula,845.2
Al Majmaah,Al-Mahd,701.4
Al Majmaah,Khaybar,809.3
Al Majmaah,Badr,780.2
Al Majmaah,Al-Hinakiyah,539.5
Al Majmaah,Buridah,156.2
Al Majmaah,Onizah,159
Al Majmaah,Al-Rass,218.1
Al Majmaah,Al-Mithnab,150
Al Majmaah,Al-Bukayriyah,184.8
Al Majmaah,Al-Asyah,205.9
Al Majmaah,Riyadh Al-Khabra,209.1
Al Majmaah,Dammam,587.5
Al Majmaah,Khobar,606.2
Al Majmaah,Al-Ahsa,508.6
Al Majmaah,Hafar Al-Batin,306.4
Al Majmaah,Khafji,607.8
Al Majmaah,Al-Jubail,640
Al Majmaah,Qatif,609.4
Al Majmaah,Al-Mubarraz,512.2
Al Majmaah,Abqaiq,551.2
Al Majmaah,Al-Nairyah,565.2
Al Majmaah,Qaisumah,313.1
Al Majmaah,Ras Tanura,642.8
Al Majmaah,Abha,1134.4
Al Majmaah,Khamis Mushait,1107.1
Al Majmaah,Bisha,900
Al Majmaah,Muhayil,1155.4
Al Majmaah,Tathlith,1023.8
Al Majmaah,Sarat Abidah,1141.4
Al Majmaah,Ahad Rafidah,1127.5
Al Majmaah,Rijal Almaa,1189.8
Al Majmaah,Dhahran Al-Janub,1237.7
Al Majmaah,Balqarn,1016.9
Al Majmaah,Tabuk,1157.7
Al Majmaah,Al-Wajh,1185.1
Al Majmaah,Duba,1332.6
Al Majmaah,Tayma,830.8
Al Majmaah,Haqal,1382.5
Al Majmaah,Umluj,1014.7
Al Majmaah,NEOM,1316.8
Al Majmaah,Hail,437.2
Al Majmaah,Baqaa,450.8
Al Majmaah,Al-Ghazalah,503.1
Al Majmaah,Al-Shinan,401.6
Al Majmaah,Al-Sulaimi,551.9
Al Majmaah,Arar,859.3
Al Majmaah,Rafha,579.9
Al Majmaah,Turaif,1099.9
Al Majmaah,Al-Awaiqilah,760.4
Al Majmaah,Jazan,1329.5
Al Majmaah,Sabya,1296.3
Al Majmaah,Abu Arish,1326
Al Majmaah,Samtah,1373.8
Al Majmaah,Bish,1267.2
Al Majmaah,Damad,1308.2
Al Majmaah,Farasan,1387.5
Al Majmaah,Al-Aridah,1371.1
Al Majmaah,Najran,1146.2
Al Majmaah,Sharurah,1354.8
Al Majmaah,Hubuna,1119.6
Al Majmaah,Khubash,1145.6
Al Majmaah,Yadamah,1035.9
Al Majmaah,Al Bahah,997.5
Al Majmaah,Baljurashi,1026.2
Al Majmaah,Al-Mandaq,987.1
Al Majmaah,Al-Aqiq,926.4
Al Majmaah,Al-Mikhwah,1046.5
Al Majmaah,Qilwah,1077.9
Al Majmaah,Al Qurayyat,1059.1
Al Majmaah,Sakaka,790.4
Al Majmaah,Domat Al-Jandal,758.6
Al Majmaah,Tabarjal,933.7
Al Majmaah,Diriyah,194.7
Al Majmaah,Al-Muzahmiyya,249.7
Al Majmaah,Al-Hariq,359.8
Al Majmaah,Marat,121.8
Al Majmaah,Huraymila,139.1
Al Majmaah,Thadig,106.5
Al Majmaah,Al-Ghat,53.6
Al Majmaah,Dhurma,261.9
Al Majmaah,Al-Rayn,383.4
Al Majmaah,Rimah,233.1
Al Majmaah,Bahrah,903.3
Al Majmaah,Al-Kamil,933
Al Majmaah,Al-Muwayh,590.7
Al Majmaah,Adam,894.4
Al Majmaah,Wadi Al-Faraa,784.4
Al Majmaah,Al-Badai,169.4
Al Majmaah,Al-Nabhaniyah,259.8
Al Majmaah,Uyun Al-Jiwa,194
Al Majmaah,Dhariyah,337.9
Al Majmaah,Uqlat Al-Suqur,354.6
Al Majmaah,Al-Shimasiyah,186.8
Al Majmaah,Qaryat Al-Ulya,436.3
Al Majmaah,Al-Majaridah,1079.6
Al Majmaah,Al-Namas,1061.2
Al Majmaah,Tanomah,1088.3
Al Majmaah,Al-Birk,1277.9
Al Majmaah,Bariq,1115.5
Al Majmaah,Al-Bid,1384.4
Al Majmaah,Al-Shamli,648.3
Al Majmaah,Sumairah,527.8
Al Majmaah,Mawqaq,519.5
Al Majmaah,Al-Hait,573.5
Al Majmaah,Ahad Al-Masarihah,1360.7
Al Majmaah,Al-Darb,1216.7
Al Majmaah,Fayfa,1354.6
Al Majmaah,Al-Eidabi,1349
